country,year,pop,continent,lifeExp,gdpPercap
Island Creek Surface Mine #1,2006,20,KY,128274,2771
Mine No. 12,2012,21,KY,45160,1216
Apollo Mine,2009,9,KY,2998,567
Joe's Run ,2016,9,KY,89927,2657
Larson #1 Strip,2002,11,PA,35547,2230
Liberty Mine,2016,123,MS,103649,1356
New Horizon Mine,2004,21,CO,413333,2165
Auger #1,2012,31,OH,39297,1009
Job #3,2000,30,MD,367772,2625
Surface Mine No. 1,2016,23,VA,150372,2530
Winchester UG Mine,2017,113,WV,482516,2375
McKinley,2003,291,NM,4605116,2074
Black Light Energy ,2001,26,KY,165097,2268
Turkey Pen Refuse,2009,3,KY,41185,1862
Browns Fork Mine,2006,15,KY,656610,2272
Oxbow Lignite Surface Mine,2007,37,LA,504008,2181
HWM 009-001,2010,1,KY,3622,2384
Midland Trail Mine No 2,2010,55,WV,130007,2578
WV-3 Surface Mine,2014,66,WV,219782,2097
No. 8,2007,11,KY,70272,2018
No 2,2007,12,KY,41104,1981
7 Ft Slope,2007,3,PA,3452,800
Rosebud Mine&Crusher/Conveyor,2013,333,MT,8234130,1899
Deer Run Mine,2011,65,IL,491227,2363
No 1,2009,16,WV,15781,1010
No. 2,2016,16,WV,24280,1319
Strip #8,2004,22,VA,45110,1041
Tower Mountain,2001,31,WV,953943,2713
Sentinel Mine,2008,188,WV,971379,2076
Williamstown Mine #1,2017,7,PA,13475,2154
Buchanan Mine #1,2006,445,VA,5008813,2115
Snyder Mine,2009,75,OH,1009832,2631
Laoc Strip #1,2014,2,MD,10297,1265
Mount Sterling Branch,2012,26,KY,68931,1799
Auger Mine No 33,2003,9,KY,172954,1613
Springtown 1,2011,4,KY,40943,2390
Hog Trough,2008,17,KY,35876,2075
No. 1,2010,8,KY,5570,514
Bear Branch,2009,37,KY,379953,2830
Mine #3,2016,20,KY,86091,2074
Premium Fine Coal Inc,2002,3,PA,13331,2229
Bowie No 2 Mine,2012,283,CO,3430291,2156
Jordan #1 Slope,2003,2,PA,2853,1190
Wallins A,2000,39,VA,223155,2242
West 61,2016,7,IN,31694,1488
Kellar #2,2005,3,PA,11419,994
Atlas Anthracite Coal Corporation,2017,6,PA,15860,1586
No 1 Strip,2006,30,VA,404180,2267
Stark Strip,2015,17,OH,60701,1166
Columbiana Pits,2007,13,OH,110639,2584
Mine No. 3,2011,19,VA,3012,148
True Energy Fuels Mine No. 2,2018,10,VA,31306,1898
Still Run No 3,2013,71,WV,216740,1995
Beilchick Bros Strips,2000,2,PA,1699,872
Vindex Douglas,2001,8,MD,178686,2374
Van Branch  #2,2007,4,KY,8874,1214
Frasure Branch,2016,8,KY,5295,1676
No 1,2008,7,KY,4184,965
Gatliff Surface #3,2017,12,KY,1948,800
Mine #2,2005,9,KY,32305,1093
Infinity Surface Mine #2,2015,4,KY,3523,655
Auger # 50,2012,2,KY,1215,150
D-8 Cloverlick,2013,17,KY,6560,748
Pathfork ,2014,6,KY,560,597
Jarisa Cave Spur Mine,2013,33,KY,203566,2077
T.C. Strips,2002,2,PA,12700,1106
ADDCAR System 18 HWM Serial No 23018,2011,23,AR,255619,1578
Viking Mine - Corning Pit,2012,104,IN,1324249,2278
Somerville,2003,85,IN,2664193,3118
Rice #1 (Strip),2008,48,OH,610497,2799
BAM 4 Auger ,2006,2,WV,29270,2121
Tams No.1 Surface Mine,2014,18,WV,60856,2330
Horse Creek Eagle,2013,101,WV,424861,2210
MINE FOUR LLC,2003,27,WV,28573,388
Canebrake Surface,2003,18,WV,258877,2542
Bee Hollow Mine,2003,6,WV,31776,1107
Sherpa Mining,2011,23,PA,140069,2590
New Centerville Quarry,2004,13,PA,19300,2198
Wadesville P-33,2011,20,PA,104151,2052
Black Pearl No.6,2013,19,VA,32968,1420
No 4,2000,5,KY,28996,1750
Emerald Mine No 1,2000,382,PA,6425738,2163
No 10,2000,27,KY,112028,690
Jacobs Ranch Mine,2005,497,WY,37277820,2174
Shaw,2004,21,PA,162284,2455
Pardee Surface,2005,40,VA,714788,2699
Mine No. 38,2012,12,VA,57229,2662
Rockton/Shaffer Mine,2000,16,PA,111053,2591
No 5,2001,22,KY,219543,2713
The American Coal Company New Era Mine,2001,457,IL,7009349,2419
No. 1 Surface,2001,9,KY,21642,496
Mine #15a,2012,33,KY,27757,575
Frasure Branch,2014,64,KY,173546,1908
No. 8,2011,30,KY,314430,2521
No 7,2003,12,KY,63858,2080
Logansport Mine,2002,19,PA,298241,2006
Kayenta Mine,2010,331,AZ,7752277,2353
Lindbergh,2007,45,AL,318969,2509
New Horizon Mine,2013,20,CO,216486,1927
Hawkins Refuse Site,2007,4,PA,36019,1490
Pioneer #1,2001,3,PA,26566,1814
St. Clair Strip,2001,12,OH,13830,2197
Dusty Fork Job,2001,31,KY,67727,726
Gertz Mine,2001,1,PA,1205,400
E4-1,2014,104,KY,549238,2372
Line Creek No. 1 ,2014,5,KY,44336,1733
D-4 Jellico,2012,53,KY,118662,2155
Bowman Strip,2013,15,OH,96165,2263
Orange Strip,2012,50,OH,494505,2647
#5,2002,34,KY,738325,2655
Mountain View Mine,2018,194,WV,1754139,1660
Mine No. 6,2012,15,WV,42483,1915
Winfield North Strip,2006,57,TX,748772,2929
Cherry Tree Mine,2011,87,PA,884034,2455
"UC Mining, LLC",2005,354,KY,3784564,2311
Lone Eagle Mine,2009,2,PA,3287,2164
King #1,2017,6,PA,37707,2502
Genie Stripping,2014,4,PA,90,604
Tn mine 3,2012,18,TN,17483,748
Falls Creek Auger Crew - 3,2011,2,PA,6798,779
Fork Creek No 1,2001,115,WV,1048929,2443
Mine No 1,2008,2,KY,3931,390
Tatum Strip Mine,2010,102,TX,2897082,2070
Big Brown Strip,2009,234,TX,3253584,2238
Mine No 1,2001,9,WV,21142,1056
Jefferson County Strip,2001,4,OH,4502,488
No. 1,2006,5,KY,696,59
No 4,2003,42,KY,264726,2654
#5,2003,63,KY,642892,2411
H-1,2013,8,KY,81971,3383
M3 Energy,2013,48,KY,316117,2270
Job 55,2011,7,KY,90703,2862
Crown III Mine,2012,175,IL,811103,2096
Kasubick #4,2007,2,PA,10369,1620
Wesley Strip,2000,3,WV,5490,533
West Elk Mine,2006,330,CO,6011620,2154
Hernshaw Mine,2002,41,WV,310985,2103
Convict Hollow,2002,15,VA,85754,1659
Freelandville Mine,2010,23,IN,327152,2724
Francisco Mine,2004,134,IN,2133356,2563
No 2,2006,50,VA,201127,2028
Dutch Run,2009,31,PA,262659,1900
D-30 Clover Fork  ,2010,112,KY,769084,2642
Equal Fork Surface,2008,11,KY,21890,319
Jessup Mine,2007,10,KY,28389,540
P.Ridge Mine-South Pit,2013,5,KY,26300,586
#7,2004,14,KY,115860,2691
D-2 Beechfork,2018,79,KY,214844,2059
Big Creek No 2 Surface Mine,2006,55,WV,466619,2318
Navajo Mine,2014,238,NM,4722871,2046
Beckley Pocahontas Mine,2012,259,WV,1099395,2325
BRC Alabama No. 3 LLC,2009,4,AL,63240,1544
No 4 Mine,2004,340,AL,3052756,2221
Sulphur Springs Strip,2004,101,TX,2580770,2228
Short Bros I,2007,3,PA,29452,1664
Vindex Douglas,2011,29,MD,237822,2747
Prairie Eagle,2010,21,IL,270345,2055
Smith Gap Surface Mine,2012,55,VA,285614,2261
Highwall Miner No.1,2012,16,WV,60152,1681
Lower Hutchinson Branch Surface Mine #1,2006,11,WV,12096,413
No 2 Mine,2005,139,WV,1053830,2498
Condor Mine,2010,2,PA,14728,1488
Serill Strip,2011,5,PA,16099,2172
AHM Magoffin #1,2011,5,KY,151260,2420
Camp Creek Mine,2003,198,WV,2988004,2476
T.J.S. No. 5 Mine,2006,18,PA,189969,2616
Sands Hill Strip #2,2018,1,OH,2127,1278
Silver Creek Mtn Mine Operation,2012,3,PA,27525,1173
Sang Branch,2001,28,KY,34817,280
#2,2010,12,KY,3886,320
Patrick Branch No. 1,2010,1,KY,9315,2197
Taylor Fork Energy,2011,85,KY,418453,1807
Pegasus Mine,2004,35,KY,393140,2125
Halls Creek Mine,2003,46,KY,653357,2781
Richland No 9,2009,65,KY,337812,1945
D-28 Huff Creek,2013,104,KY,440681,2473
Right Fork Splint,2004,22,KY,146889,2461
OAM#40,2009,2,KY,12709,629
No. 1 Surface,2008,10,MD,66979,2343
Poplar Springs,2008,45,AL,355947,3046
Carlisle Mine,2011,254,IN,3297226,2448
Cumberland Mine,2006,466,PA,7515984,2485
Hill Strip,2010,1,PA,3348,1300
No. 4,2000,7,KY,26515,1823
Tower Mountain,2002,17,WV,237077,1649
# 5,2011,13,KY,6432,1459
Standing Stone Mine,2003,19,OH,260413,2572
Empire/White,2008,26,OH,9114,359
Durant Strip 002 Pit,2003,2,PA,2030,834
GHM #51,2011,2,KY,20996,1032
Miller Mine,2001,17,PA,190383,1794
Mine #10,2001,4,KY,114174,1696
Park Mine Coal Company,2012,1,PA,18280,1920
Jewett Mine,2005,318,TX,6916386,2118
Mine #15,2013,106,KY,337460,2122
Line Creek No. 1 ,2013,3,KY,13441,2386
Infinity Surface Mine #3,2010,37,KY,291906,2849
Mine #2,2009,19,KY,81290,1754
D-18,2010,78,VA,293356,3036
Tuscarawas Strip,2004,34,OH,477721,2773
Rose Valley #587,2006,17,OH,92889,3080
Mine 33,2011,11,PA,53382,2610
Somerset County Strips,2008,8,PA,103656,2142
Mathews Surface Mine,2001,7,PA,172315,2042
Mine #2,2005,14,KY,10412,1579
Mary Lee # 1 Mine,2015,3,AL,1710,260
Skelton Creek,2018,3,AL,22672,1080
T.C. Strips,2007,2,PA,8859,1772
Blue Creek No. 2 Mine,2009,33,WV,192184,1077
No 34 Mine,2009,29,WV,166363,2130
Rivers Edge Mine,2005,173,WV,1629683,2473
No. 3,2003,13,WV,37941,805
Hardrock Coal Co.,2003,3,PA,31562,1857
Low Gap Surface Mine,2004,37,WV,145974,2024
Beacon Knob Mine,2012,21,WV,111991,1461
Wynn/Fairchance Site,2003,2,PA,10977,894
Condor #1 Mine,2013,35,WV,257715,2774
Winifrede 12 Mine,2010,41,WV,223049,2187
Crawdad No 1 Mine,2010,36,WV,332427,2065
D-29 Darby Fork,2005,93,KY,661494,2589
No 1 Strip,2011,18,MD,280676,2428
Buckingham Mine No 7,2011,90,OH,692518,2303
Logansport Mine,2010,64,PA,1111891,2300
Cambria Pitt 001,2013,24,PA,116953,2147
Creek Paum Mine,2009,49,IL,557109,2203
Cheyenne Saline Co. #1,2009,26,IL,273622,2504
Lone Eagle Mine,2008,1,PA,1125,518
Peach Mt. Strip,2012,9,PA,8284,2027
White Knight,2000,72,WV,671238,2432
No.1 Strip & Auger,2000,3,VA,1627,479
No 2 Mine,2001,90,WV,1213232,2364
Postar No 1 Mine,2002,27,WV,158314,1933
Blue Ridge Mining,2015,3,PA,8452,1557
Long Run,2011,11,PA,31842,1894
Belle Ayr Mine,2005,251,WY,19326943,2090
Dominion #22,2001,20,VA,241759,2311
IFC Mine No.3,2003,24,KY,170176,1058
Bobs Creek Strip,2008,4,KY,3509,1085
Southeastern Auger No. 1,2014,2,WV,5926,214
Red Oak Job #5,2006,38,KY,281779,2474
#1 Surface,2005,6,KY,8347,290
Wynn/Fairchance Site,2002,1,PA,2609,455
PE 2 Underground,2002,14,KY,3131,750
No 1 Auger,2003,2,VA,12667,752
Stockton Mine,2000,5,PA,1970,951
Mine No 1,2004,4,WV,1238,130
Lee Ranch Coal Mine,2005,218,NM,5314923,2040
MINE FOUR LLC,2010,15,WV,34816,2371
No 27 Strip,2008,28,VA,512847,2234
Auger #3,2008,7,OH,6221,221
Elkville No.1 Mine,2005,30,IL,442191,2468
East Volunteer,2000,64,KY,922007,2362
Mine No. 8,2002,28,KY,137131,2105
Swank #1 Strip,2000,4,PA,11525,1962
Fourmile Fork,2000,17,WV,2827,340
Shearer  Mine,2001,3,PA,3419,374
Southern Crescent Mine,2001,7,VA,16662,1150
No 20,2007,30,KY,191647,2446
Vision #9,2007,127,KY,856448,2363
West Spring Energy,2018,16,PA,109963,1534
No 3,2002,39,KY,712383,2553
Mathies,2001,143,PA,866528,2320
Bearpen Surface Mine,2001,7,VA,5937,374
White Cabin No 6 Mine,2001,23,KY,197525,1871
Savage Mine,2001,11,MT,340438,1913
Center Creek Mine,2018,14,KY,52757,1997
Tram Mine #1,2006,7,KY,4100,556
No 2,2013,7,KY,56676,2727
No 1,2003,38,KY,431394,2474
RB #10,2009,9,KY,10077,1166
Cordova,2006,15,AL,43366,1282
McGill Surface Mine,2010,3,PA,7894,1625
Virginia Point No. 1 Surface Mine,2012,115,VA,711304,2764
Mine No 2,2016,9,WV,1990,173
Tower Mountain,2009,14,WV,155591,2480
Poplar Ridge No 1 Deep Mine,2015,34,WV,219428,1766
Boone North No. 2 Surface Mine,2011,64,WV,641500,2513
Century #1,2011,4,WV,6922,427
Mine No 1,2005,62,WV,898926,2405
Maple Eagle No. 1 Mine,2011,188,WV,607954,2115
Powhatan No. 6 Mine,2009,452,OH,6732699,2304
Davis Creek Strip,2013,18,TN,51020,1464
Preacher Creek Strip,2006,27,VA,114552,2295
"Mill Creek Mining, Inc. #1 Strip",2011,5,VA,6287,1300
Bismarck  Mine,2012,39,WV,132974,2504
Mine No. 10,2005,7,WV,17570,2439
Marsh Fork Mine,2013,69,WV,215733,2270
Auger No. 1,2005,4,PA,19656,1458
No. 22,2009,28,KY,42964,1086
VP 8,2005,152,VA,1248130,2066
Penny #1,2003,3,AR,6564,2018
Wildcat Hills Mine-Underground,2015,239,IL,2026081,2088
Lively Grove Mine,2018,379,IL,4947937,2093
Bloom 2,2003,4,PA,30819,1892
Wymps Gap Surface Coal Mine,2007,5,PA,8370,1680
Bluegrass Mine,2011,76,KY,1205731,2733
Miller Creek Mine,2001,36,IN,561219,3602
KELLIOKA 5,2001,35,KY,166438,1816
S-12 Calhoun,2007,42,KY,511306,1959
No 1,2007,12,KY,52034,1781
#5,2007,24,KY,247091,1874
Liggett #2,2007,24,KY,37484,1222
Auger # 50,2013,2,KY,1560,238
Blue Ridge No 1,2009,35,KY,222274,2402
Red Oak,2009,28,KY,137369,1265
#7,2015,11,KY,60017,2364
Town Creek,2012,48,AL,309314,2936
Black Thunder,2002,562,WY,65125564,2204
No. 5,2017,6,VA,15713,1402
Tilley ,2018,47,VA,119436,1895
Mine No 1,2013,15,WV,9725,812
Fork Creek Mine No 3,2011,49,WV,381532,2572
Oxford Beagle Club,2010,3,OH,4780,1510
Penfield Mine,2014,44,PA,484991,2036
Knob Creek,2014,26,PA,294890,2155
"Bell Resources, Inc",2004,5,PA,42369,2531
Federal Hill Mine,2010,6,MD,35487,1825
East Mac & Nellie,2017,89,KY,1017574,2685
No 1,2008,7,KY,13442,655
#1,2003,10,KY,89165,1128
No. 1,2009,3,KY,4624,267
Tuscarora Mines & Minerals Corporation,2002,2,PA,4728,1782
Riola Complex Vermilion Grove Portal,2003,101,IL,961756,2085
Worthville Mine,2012,15,PA,82110,2427
Mine No 4,2005,22,VA,88973,2150
OAM#37,2006,2,KY,33145,1330
Stark Pits,2009,33,OH,243983,1744
Strip #1,2009,8,OH,13778,228
No 1,2001,17,VA,107490,2055
Cam Creek Mine,2007,4,KY,354,397
#8 Wallins Creek Strip,2010,33,KY,170403,2989
Persimmon #1,2017,23,KY,188962,2638
Mine No. 12,2010,14,KY,45663,2020
S-1 Hunts Branch,2013,35,KY,378157,2881
Bowman Strip,2004,25,OH,141595,2389
Clinton Surface Mine,2004,15,PA,9621,1589
Little Spring Creek Mine,2017,33,AL,180409,2631
LMM,2013,12,VA,19265,956
Josephine No 2 Mine,2008,40,WV,132407,2841
Imperial Mine,2009,94,WV,685348,2486
Hoover Job,2017,17,PA,53534,2480
Kuperavage Ent Inc/TA Tuscarora Coal ,2007,2,PA,6845,1414
Winchester UG Mine,2009,60,WV,474106,2276
MINE FOUR LLC,2011,17,WV,16626,2518
Twin Branch No 1,2017,90,WV,1415128,2746
No. 4,2004,16,VA,96665,2180
Mine 1,2009,4,PA,5222,272
7 Ft Slope,2018,2,PA,2512,1425
Cherry Tree Mine,2007,79,PA,912697,2482
#1 Strip,2012,4,MD,7220,2212
White Buck No 2,2000,21,WV,168069,1774
Brosious Mine,2006,5,PA,14181,1895
Enlow Fork Mine,2008,577,PA,11089475,2512
Hickory Grove,2000,23,AL,277248,2688
South Ridge Mine #2 LK,2002,42,WV,416418,1334
Laurel Mountain ,2003,55,VA,345189,2133
Ben Hal Strips,2014,5,PA,56139,1824
Strip #3,2001,3,OH,14801,1595
#4,2001,5,KY,4266,880
Red Bird Coal #1,2009,21,KY,57957,906
Engle Hollow Mine,2008,17,KY,55045,2078
No. 2,2010,30,KY,70856,1472
No. 6,2016,45,KY,358768,2283
Mine No. 8,2016,10,KY,65928,2702
Mcvey Land Development,2003,4,KY,928,19
Fishtrap,2005,19,AL,115958,2833
Burleson North Mine,2009,26,AL,31144,627
Oaktown Fuels Mine No. 2,2016,235,IN,1946919,2298
Cravat Strip-Belmont,2003,10,OH,52294,1379
Twilight Mtr Surface Mine,2009,331,WV,4772245,2922
Kingston No 1,2008,91,WV,607914,2930
Jolo Mine,2006,10,WV,40566,831
Boone North No. 2 Surface Mine,2012,22,WV,134291,2783
Six South No Two Mine,2003,23,WV,317133,2272
Clementine Mine,2003,43,PA,802443,2339
Steyer II,2006,49,MD,357357,2316
Twin Brook #3,2011,5,PA,20499,1162
Shane Mine,2003,25,PA,112970,2137
Hiram Fork,2018,11,VA,21928,1255
Rader Run Surface Mine #2 and #3,2000,10,WV,23815,2275
Dominion #22,2000,7,VA,66337,1935
No 1,2001,7,WV,31476,1591
Samples Surface Mine,2001,290,WV,5786007,2726
AG4 Sawmill Hollow #2,2016,35,VA,112444,1940
Harrison County Mine,2001,439,WV,4910055,2074
Hatfield Gap Surface Mine,2008,28,KY,183225,2323
SHM-10  ,2017,9,KY,173134,2470
Stitt,2002,2,PA,1484,90
King I,2004,47,CO,458605,2294
New Horizon Mine,2005,24,CO,420730,2359
Falkirk Mine,2003,210,ND,7921080,1902
Fieg Bros Coal Co.,2004,13,PA,123352,2153
Huffman HWM,2018,13,VA,84633,1699
Derby Wilson Mine,2011,54,VA,352985,2405
Copley Trace Surface Mine,2004,52,WV,919909,2882
Mine No 108I,2005,25,WV,400282,1967
ADDCAR System 18 HWM Serial No 23018,2009,27,AR,780530,2486
Calvary No 81,2004,24,KY,108763,1178
Win-More Mining,2004,3,MD,7434,880
Tamburlin Strip,2004,29,PA,146719,2527
Mine No. 1,2007,14,VA,37475,1954
DODSON #1,2006,3,PA,12358,1693
FSMR Inc Strip,2008,2,PA,1094,896
Ohio County Mine,2001,387,WV,4088210,2134
Sullivan North,2001,92,IN,1320132,2199
Bull Creek Surface Mine #1,2008,11,KY,402872,3156
E4-2,2007,39,KY,18765,547
No. 9,2003,20,KY,245415,2302
No. 88,2016,8,KY,1607,919
Big Sandy Refuse,2010,3,KY,38473,800
Vicco Mine,2004,91,KY,960801,2632
No. 75,2012,68,KY,194467,2389
#3,2002,15,KY,99436,2004
Moose No. 1,2002,24,KY,236467,1955
Yeshic Mine,2010,45,AL,216050,2012
EPB Strip,2010,18,PA,235072,2445
Isaban Deep Mine No. 3,2008,22,WV,17448,1639
Big Creek No 2 Surface Mine,2007,42,WV,592525,2264
 Holden #22 Surface,2007,44,WV,1064720,2686
Wildcat Surface Mine,2008,42,WV,402406,2516
Kingston No. 2,2005,62,WV,488666,2686
Harris No 1,2004,298,WV,3067566,2429
Sherpa Mining,2008,28,PA,129018,2711
Mine No 1,2009,2,KY,2643,310
#1,2004,18,KY,57054,1725
L & E Buck Stripping,2012,1,PA,91,350
Feller #2 Strip,2007,21,PA,17985,1525
Mine No 6B,2003,27,TN,68414,712
Dotiki Mine,2001,287,KY,4621666,2692
Solomon Run  Mine,2015,4,PA,21864,1765
No 1,2000,15,VA,51265,2016
Rockhouse 1,2006,2,KY,4878,264
No. 11 Allen Branch Job,2013,1,KY,1335,169
Samuel Mine,2014,15,KY,68634,2193
Dimmick #1,2002,2,PA,18874,850
No. 4,2002,44,KY,580090,2473
Mine #8,2002,49,KY,177508,1565
Deserado Mine,2013,105,CO,1861494,2037
Falkirk Mine,2018,468,ND,6078296,1462
Buckingham  Mine #6,2011,113,OH,1809121,2329
Logan Surface Mine,2012,22,PA,79191,2072
Sufco,2005,193,UT,7568934,1995
Nine Mile Reclamation No. 2,2006,29,VA,235824,2145
Birch Fork,2000,23,WV,368268,2077
Maple Springs Mine,2014,1,PA,1320,160
Luke Shingara Coal,2009,3,PA,1300,1253
Buchanan Mine #1,2004,347,VA,4376918,2273
No 27 Strip,2003,29,VA,360171,2304
Waltersburg Mine,2005,3,PA,2324,745
Big Brown Strip,2015,130,TX,1387041,2152
#2,2001,8,WV,46983,1574
No. 1,2003,13,KY,32381,683
Sandlick No. 1 ,2013,6,KY,23071,1350
#5,2009,3,KY,6639,1109
Ky No. Mine 1,2003,18,KY,101266,994
Auger Mine No 28,2017,2,KY,40111,1901
No 42A,2014,3,KY,6985,320
S-29 Cave Branch,2018,14,KY,5125,1457
#5,2003,18,KY,139313,1837
Strip #24,2011,22,VA,41194,1384
Fourmile Fork,2006,53,WV,474647,2417
Ewing Fork No. 1 Surface Mine,2018,114,WV,580080,1844
Coal Mountain No 1 Surface,2018,9,WV,946995,2569
Allegiance Mine,2010,88,WV,427680,2848
Little White Oak,2011,1,WV,59342,1659
No 3 Mine,2008,4,KY,26407,1866
Dredge #1,2016,3,KY,276,1444
Jeddo Basin (J-44),2012,49,PA,79196,1796
Tiller No 1,2010,90,VA,368059,2331
Pike No. 2 Mine,2000,108,IN,2091473,2461
AG4 Sawmill Hollow #2,2011,47,VA,173253,2584
Auger #1,2010,7,OH,10716,420
Tracy Lynne,2012,41,PA,279336,1996
Gowen Stripping,2001,6,PA,7845,2664
Bledsoe #1,2001,3,AL,1200,1123
Turkey Pen Refuse,2010,3,KY,65380,2484
Harlan Strip #1,2005,6,KY,13416,1046
No 2,2011,30,KY,75005,1243
Yellow Mtn Surface Mine #1,2011,30,KY,86299,1893
Bent Mountain Surface Mine #2,2016,13,KY,125330,2127
#5,2010,48,KY,210177,2835
Johnson Branch #2,2011,34,KY,163149,2764
Paradise #9,2005,160,KY,2313887,2607
Colowyo Mine,2004,235,CO,5435256,2041
Miller Creek Mine-Jenlin Pit,2003,52,IN,738450,2394
Bull Run Surface Mine,2008,10,VA,37469,1540
S-7 Surface Mine,2011,29,WV,329157,2760
Auger No 5,2012,2,PA,261,145
Grapevine South Surface Mine,2017,50,WV,468564,2629
Auger I,2008,3,PA,12865,1165
Myers and Supko,2008,2,PA,657,210
Logansport Mine,2012,64,PA,722946,2478
Ridge Deep Mine,2005,19,PA,572486,2513
Mine #1,2004,24,KY,82003,1770
Armstrong Co Strips,2005,27,PA,286956,1868
Shane Mine,2009,25,PA,91505,1802
Cabin Hollow,2008,48,TN,364334,2534
Sufco,2008,227,UT,6946075,2109
Tiller No 1,2004,63,VA,550552,2558
Middle Whitesburg No 1,2000,18,KY,82950,1111
Bell Corp,2017,1,PA,683,520
Washington Mine,2015,62,WV,260817,1408
Brady Surface,2008,2,WV,4329,1420
MATTIEBOO #4 Surface,2007,18,VA,108914,1818
Pleasant Hill Mine,2007,109,WV,409776,2297
S-7 Surface Mine,2007,28,WV,300189,2521
Eagle Creek No 5 Mine,2015,7,WV,20977,2562
No 3,2006,69,WV,289356,2365
Still Run No. 10,2007,8,WV,42404,2095
Dairy Jean Mine,2011,9,OH,3164,976
Bluff Spur Mine,2011,48,VA,399429,2707
Mary-D Strip Operation,2012,8,PA,55323,2057
Quecreek #1 Mine,2004,67,PA,534917,2228
Laurel Sand and Stone Inc,2011,18,PA,29314,1939
D. and D. Strip,2008,8,OH,8263,1303
Mather Strip,2012,2,PA,13911,1307
Black Thunder,2013,1558,WY,100687876,2022
Logansport Mine,2015,44,PA,308919,1836
Davis Branch,2003,3,KY,4668,533
No 3,2006,8,KY,5176,300
East Mac & Nellie,2006,40,KY,336138,1765
"VFC-Louder Creek E, F, G, H",2013,3,KY,7382,1680
D & C Mining  Corporation,2010,22,KY,96347,1753
#2,2005,14,KY,79087,2289
Wolf Den Run Mine,2016,11,MD,21053,2470
Centralia Coal Mine,2001,466,WA,4624245,2135
#5 Punch Mine,2001,24,KY,135416,1609
No 2,2001,14,VA,72904,1257
#1,2005,17,KY,163474,2529
E3-1,2008,134,KY,1077405,2662
Persimmon #1,2014,8,KY,48216,2014
Mine No 5,2012,34,KY,86755,1215
No 11,2008,15,KY,85592,1028
Auger #5,2002,6,KY,25330,477
Mine No 3,2011,252,KY,1456703,2447
Augusta Mine,2015,15,IN,333488,2640
Emerald Mine No 1,2005,459,PA,6343553,2456
Strip #3,2000,6,OH,47063,2634
HWM Job #23A,2000,17,WV,134668,324
No. 37 Mine,2002,9,WV,13030,317
Penny #1,2006,2,AR,5187,1047
Fisher Mining Company,2015,27,PA,119887,2665
Mine #4,2000,34,KY,93414,674
Mather Strip,2011,10,PA,53649,1470
No 1 Stripping,2015,5,PA,10681,392
John Shingara No. 1,2014,3,PA,7911,443
Ohio County Mine,2000,313,WV,3574118,2130
Rice #2 (Strip),2008,21,OH,227046,2809
Splashdam Mine,2009,17,VA,115844,1881
White Buck No 2,2008,38,WV,198331,2211
Surface Mine No 2,2004,267,WV,3923807,2331
TJS #1,2001,20,PA,159871,2429
Rices Chapel Mine,2001,13,AL,39020,1043
Sentinel Mine,2005,65,WV,147035,2334
Pinnacle Mine,2008,372,WV,2112483,3208
Buckeye Strip #1,2004,4,KY,13500,488
Mine No 9,2012,16,KY,53562,1250
Oxbow Lignite Surface Mine,2003,32,LA,563619,2054
Lounder Mine & Bare #2 Mine,2011,17,PA,141155,2691
K-3,2015,22,KY,107163,2013
No 10,2009,7,KY,14329,628
Martz Mine,2002,13,IN,327940,2937
Laurel Mountain ,2005,78,VA,431995,2119
Maverick Shop No. 1,2008,66,VA,326223,2592
Buckingham Mine #2,2009,15,OH,150287,1735
Mine 33,2006,3,PA,17918,1452
Smith No. 1 Mine,2011,11,PA,126661,2271
Mine No 108I,2004,24,WV,455690,2138
Campbells Creek No 10 Mine,2010,59,WV,215156,1995
Cobra Mine,2001,31,PA,131382,2138
No 3,2001,26,KY,140483,1330
Preparation Plant No 1,2004,4,WV,14772,1338
Hobet Mine,2008,322,WV,3706471,2319
Usibelli,2017,83,AK,959068,1811
Infinity Surface Mine #1,2009,16,KY,109664,2585
#1,2006,36,KY,63439,1360
Mine No. 1,2008,7,KY,7102,979
No. 41 Auger S/N 41,2006,3,KY,21677,1476
Rhino Mine #1,2008,8,KY,4393,252
Auger #5,2005,4,KY,3945,228
Richland No 9,2008,47,KY,370016,2287
Newberry Mine,2002,13,IN,167442,1658
Bull Mountains Mine No 1,2011,213,MT,5135570,2464
Sugar Town Mine,2008,26,AL,162050,2623
Gooden Creek,2008,19,AL,141824,2681
Mccollum/Sparks Branch Mine,2004,4,AL,4985,1552
Prosperity Mine,2011,290,IN,2457960,2790
Shamrock #18 Series,2009,56,KY,335738,2788
Auger #2,2005,3,PA,7451,792
No. 1 Surface,2013,10,MD,40354,2018
Taylor # 1,2017,26,MD,218850,2608
No. 77,2011,73,KY,406655,2690
No 1 Strip,2012,19,MD,64955,1603
Vindex Douglas,2009,38,MD,220406,2048
No. 3,2004,17,VA,18232,1364
Feds Creek Mine,2000,42,KY,646350,2308
Mine 105-A,2002,9,WV,7009,483
Emerald Mine No 1,2011,575,PA,3713206,2209
Hackers Creek Mine No 1,2001,3,WV,4482,403
Mountaintop Strip,2012,3,PA,3021,2080
Looney Creek Taggart Mine,2011,45,VA,129896,2536
No. 1 Surface Mine,2016,19,WV,104654,2495
Samples Surface Mine,2017,117,WV,1205205,2611
Paynter Branch Surface Mine,2005,54,WV,843895,2672
