country,year,pop,continent,lifeExp,gdpPercap
JoePa,2011,29,PA,260753,2592
Samples Mine Highwall Miner,2013,6,WV,139915,2622
Sewell Mine R,2013,13,WV,48745,1617
Lost Flat Surface Mine,2013,11,WV,2144,373
Slip Ridge Cedar Grove Mine,2013,115,WV,549510,2378
No 2,2006,13,KY,81016,2365
Shaw,2011,20,PA,137750,2583
McClure Strip,2010,32,PA,172940,2458
No 016,2008,1,KY,2673,710
S-4 Calloway North,2012,30,KY,503649,3114
No. 1,2011,10,KY,45371,2314
Black Light Energy ,2007,37,KY,253603,2742
Highsplint,2007,23,KY,162791,1617
Mill Branch,2007,41,KY,431339,2984
No 1,2012,5,KY,6443,1223
Mine # 7,2005,8,VA,28538,1245
No 1 Surface,2000,96,WV,2908011,2661
Clementine Mine,2014,36,PA,323227,1911
ELK Resources Auger Crew 1,2016,2,PA,21981,910
No. 77,2004,25,KY,221871,2484
Sullivan North,2003,100,IN,1405581,1946
Milton Mine,2006,6,OK,13820,1531
Schaney Mining (Strip),2008,1,OH,1460,450
Cravat Strip - Harrison,2005,16,OH,148327,2829
Cedar Grove Mine,2000,20,WV,108249,985
Quarry No 2,2011,8,WV,8152,1908
Mine No 1,2008,26,WV,135193,2066
Hobet Mine,2001,298,WV,4806132,2310
Coal Mountain No 1 Surface,2014,11,WV,19783,1903
Beckley Mine,2014,48,WV,240787,1799
Preparation Plant No 1,2013,8,WV,89504,1795
Abner Branch Rider,2012,72,KY,197657,2142
Chavies Job #7,2012,54,KY,377995,2288
No. 1,2016,144,KY,594735,2396
Laurel Fork #2,2011,8,KY,2621,466
Fonde Hignite Seam ,2010,53,KY,42212,292
River View Mine,2013,561,KY,9310310,2504
Akemon Mine,2002,5,KY,2753,313
Bryant's Creek,2002,17,AL,128681,2647
Fleetwood Mine No 1,2013,19,AL,75937,3054
Ondo Extension Mine,2011,41,PA,295172,2431
Auger #3,2011,3,PA,721,80
Surface Mine #2,2003,53,TN,422247,2245
Lovers Gap #3,2011,27,VA,112209,1503
Sigmon Strip #23,2011,18,VA,33114,1266
No 130 Mine,2000,128,WV,1161104,2222
S-25 Foresters Spur,2009,57,KY,266628,2866
No. 1,2007,13,KY,66259,1700
#2 Surface,2004,27,KY,176425,2064
Upper Big Branch Surface Mine,2002,20,WV,244856,2385
R251 (Flat Rock Surface),2011,16,VA,41025,2385
Leer Mine,2011,32,WV,9761,376
Peerless Rachel Mine,2016,94,WV,774752,2308
Jims Branch No 2,2007,33,WV,123737,1820
BAM 4 Auger ,2005,2,WV,27135,1958
Kingston West,2016,4,PA,21371,1332
Swartzwelder Mine,2010,3,PA,407,100
Crystal Strip,2007,2,PA,3414,280
Caretta #2 Mine,2003,6,WV,83930,1890
Sewell Mine B,2013,39,WV,97234,1963
Kingston No 1,2006,81,WV,628520,2811
Winifrede 12 Mine,2011,40,WV,196446,2186
Jerry Fork Eagle,2008,39,WV,245315,2191
No 2 Miner,2007,4,WV,14175,2017
Six South No One Mine,2004,17,WV,44270,563
Primrose Operation,2013,34,PA,112042,1812
Mather Strip,2003,2,PA,16582,1366
Decker Mine,2001,225,MT,9462298,1937
Job #49,2008,29,KY,266644,2893
Highwall Miner #64,2010,12,KY,141340,3007
Ridgeline Coal LLC,2008,9,KY,39721,1571
Mary Helen #1,2012,6,KY,10064,622
Colonel Hollow Mine ,2014,14,KY,9815,1121
State Industries Strips,2007,21,PA,273321,2355
D-11 Panther,2005,47,KY,486376,2552
Noble Mine #1,2005,6,KY,27007,400
D-14 Stillhouse,2004,60,KY,706812,2565
Hurican Br. Surface Mine,2002,14,KY,130064,1696
Mettiki Mine,2000,183,MD,2666860,2271
Cravat Strip - Harrison,2001,3,OH,2512,677
Buzz Strips,2001,5,PA,32709,1923
Harmony Mine,2001,29,PA,181234,2183
Area #2,2018,10,TN,3977,704
Flint Ridge Mine,2008,45,KY,378864,2518
Mine No 2,2005,29,KY,464663,2210
#74,2006,33,KY,185955,2815
Myers and Supko,2009,2,PA,166,65
Black Warrior Mine No 1,2014,24,AL,133972,2752
Shoal Creek Mine,2010,515,AL,1680463,2293
Fayette Co Strips,2008,23,PA,344091,1974
Briar Mountain Surface Mine,2015,31,WV,306990,2098
No 34 Auger,2013,2,KY,2131,240
Josephine No 2 Mine,2011,58,WV,295264,4474
Lick Branch Mine No 2,2005,23,WV,210104,2025
Hernshaw Mine,2017,66,WV,300172,2444
Sugar Maple Mine,2005,23,WV,249076,2324
Edwight Surface Mine,2004,52,WV,637962,2960
Marion County Mine,2018,462,WV,4309781,1735
Nancy ,2010,4,WV,8859,1313
#20 Strip Job,2006,38,KY,367113,2968
Schreckengost Mine,2010,4,PA,23516,2374
South Hallsville No 1 Mine,2016,334,TX,4186658,2193
No. 28 Strip,2016,27,VA,180268,1969
F & M Strip,2012,3,OH,6456,2935
No 7,2000,2,KY,9332,473
Poplar Lick Mine ,2009,34,KY,160297,2401
Right Oakley Surface,2016,32,KY,344489,2520
#3,2009,8,KY,9531,1038
Fonde #2,2010,56,KY,192256,1243
Steele Hollow Mine,2015,10,KY,5409,905
Mine #1,2006,6,KY,29337,2400
New Horizon Mine,2002,23,CO,386366,1887
BC 10,2002,3,KY,6877,243
Buck Mountain Slope,2008,3,PA,4667,1613
Mill Creek,2000,49,KY,10549,145
Peerless #1,2000,25,WV,37337,578
Candice 2,2002,106,WV,1470953,2593
Cherokee Mine,2002,77,VA,431507,1794
Stark Strip,2018,16,OH,50109,1410
Brushy Eagle,2005,40,WV,424950,2308
Big Creek No 2 Surface Mine,2008,16,WV,8192,1285
Walter L Houser Strip,2000,8,PA,124787,2603
Culm Co. #1,2017,2,PA,1035,368
C-3,2001,10,KY,17717,2110
#1,2001,51,KY,380153,2418
Mine #8,2006,101,KY,537303,2219
Old Way#1,2015,3,KY,510,570
Emma HWM #1,2012,3,KY,3085,557
Lige Hollow,2011,57,KY,250895,2767
Maple Creek Mine #1,2017,5,KY,10155,1303
No. 1,2009,13,KY,54083,1821
Mine #3,2007,18,KY,24791,1492
#2,2006,14,KY,47774,2290
No 4,2009,10,KY,10569,746
Chas #8 HWM,2002,4,KY,11061,2408
North River #1 Underground Mine,2002,245,AL,3414120,2139
Fork Creek Mine No 3,2012,54,WV,386349,2479
Mobile Auger # 1 (VMI unit # 50),2011,7,OH,15098,266
Dogwood #3,2007,16,VA,184970,2271
Licklog Mine,2003,23,VA,129311,1995
"Mine #2, #3, #4",2003,39,AL,177381,1509
Trapper Mine,2017,156,CO,1576619,2123
Locustdale Strip Mine,2003,2,PA,150,50
Dimmick #1,2005,2,PA,14282,1320
No. 6,2006,39,WV,149796,2142
Calvert Mine,2006,76,TX,1788496,2127
Carroll Hollow #6,2014,53,OH,373544,2595
D-10 Dorchester,2018,32,VA,53766,1809
Lovers Gap #3,2004,118,VA,1323900,2328
Pollyanna #6,2000,16,OK,96228,2461
Sycamore Surface Mine,2002,9,WV,21082,1858
Winfield North Strip,2001,198,TX,2610206,2341
#1,2004,7,KY,1633,286
Evans Fork Job,2005,51,KY,824929,2753
Meathouse Energy,2007,27,KY,216915,2364
3169,2004,6,KY,23152,2232
Mine #1,2011,53,KY,194811,2392
Monties 1,2008,7,KY,31104,1491
Viper Coal LLC  6#,2011,4,KY,1816,1080
Grapevine Mine,2012,34,KY,73498,2331
Foster South,2008,3,MO,62054,1836
Meredyth Mine,2009,15,AL,62874,1609
Miner Hollow Mine #2,2005,24,AL,135101,2076
Eagle Creek #11,2007,67,WV,769953,2677
Eagle #1,2011,66,WV,230690,2503
Auger No 5,2007,2,PA,13021,2156
S11 Keystone Surface Mine,2012,19,WV,159256,2088
Prime No. 1 Mine,2008,82,WV,773077,2083
Wildman Mine,2004,1,MD,12460,1200
South Augusta,2007,19,IN,538969,2721
Reese No 1 & 2 Strip,2017,2,PA,3414,1209
Mine No. 2,2000,15,KY,46505,1531
Brockton Stripping,2012,3,PA,34168,2390
Bailey Mine,2012,1070,PA,10122862,2450
Ginther Coal Co. Lucanna Bank,2010,2,PA,44992,1463
Valley Creek Mine No. 3,2004,19,TN,81055,1698
Dolet Hills Lignite Company,2000,128,LA,2925487,2147
#1,2009,17,KY,188669,2425
No 6,2006,4,KY,12584,1788
#5,2009,13,KY,15116,575
North Knottsville Mine,2017,3,KY,34945,2827
No. 2,2010,15,KY,56634,1319
Mine No 6B,2002,35,TN,198487,1637
Gameland S E,2002,8,PA,185258,2872
GHM #51,2006,4,KY,49704,670
BRC Alabama No. 3 LLC,2007,8,AL,127815,2072
Columbiana Pits,2004,30,OH,409595,2754
Southern Division Strips,2011,7,PA,65980,2293
Looney Creek,2018,10,VA,64079,498
Tasara Strips,2014,12,PA,156006,2078
Horning Deep Mine,2009,5,PA,4216,1128
Silverton Stripping,2009,2,PA,36480,1962
No 2 Mine,2014,12,WV,65789,2679
Guyan Mine,2006,204,WV,2719942,2609
Bell Corp,2007,2,PA,5153,820
No 10,2017,11,VA,47399,1856
Eagle #2 Mine,2012,27,WV,52554,946
Cottonwood Creek Mine,2006,8,MO,202367,2211
Hynoski Bros Shenandoah Strip,2001,2,PA,8030,2117
Mine No 8,2001,9,VA,95472,1638
Simpson Branch,2009,12,KY,18352,533
Alden Resources Harps Creek,2015,18,KY,100485,2267
M & G Mining #1,2008,8,TN,82785,1199
SHM-71,2018,10,VA,261682,1409
Edwight Surface Mine,2010,108,WV,1214978,2544
Barrackville Refuse Pile,2005,6,WV,57003,410
Mine No 2,2006,144,KY,839379,2389
Deemer #1 Strip Mine,2000,1,PA,463,960
Black Butte And Leucite Hills Mines,2003,97,WY,2962357,2188
T S M Mining Inc #2 Mine,2002,15,WV,9357,364
Auger No 1,2002,3,WV,5000,480
Auger #2,2008,3,PA,6172,369
Calvert Mine,2014,74,TX,1958835,2225
No 27 Strip,2009,27,VA,302535,2289
Marquise Strips,2011,15,PA,103632,2188
No. 1 Surface,2016,10,MD,57207,2331
